*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_PIIO_v1_0
*Date=11:00:53
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
327;;;49.0529;-8.49225;-90;Bottom;TXT1
328;;;113.992;-58.21;0;Bottom;TXT1
329;;;69.2851;-40.331;0;Bottom;TXT2
330;;;101.499;-63.6729;-90;Bottom;TXT1
331;;;106.284;-68.5675;0;Bottom;Via288
332;;;66.4718;-2.5783;0;Bottom;Copper Fill240
333;;;84.0105;-1.5496;0;Bottom;Copper Fill202
334;;THT;65.3268;-87.935;0;Bottom;UART274
335;;;99.9345;-42.8499;0;Bottom;Via330
336;;;19.1516;-44.1962;0;Bottom;Copper Fill216
337;;;19.8374;-26.0987;0;Bottom;Copper Fill187
338;;;39.9337;-72.7029;-90;Bottom;TXT2
339;;;97.5548;-20.8607;-90;Bottom;TXT1
340;;;117.335;-15.8244;0;Bottom;Copper Fill295
341;;;9.8745;-12.6955;-90;Bottom;TXT2
342;;;46.5942;-27.3479;0;Top;blkr51
343;;;45.1104;-60.2236;0;Bottom;Copper Fill213
344;;;79.1874;-79.072;90;Bottom;TXT2
345;;;76.1557;-72.3481;0;Bottom;TXT2
346;;;93.7768;-42.2531;0;Bottom;Copper Fill201
347;;THT;12.3043;-5.7025;-90;Bottom;J151
348;;;85.2805;-49.0222;0;Bottom;Copper Fill113
349;;;27.4767;-36.2585;180;Bottom;TXT1
350;;;19.9878;-5.42167;0;Bottom;TXT2
351;;;13.8918;-68.885;0;Bottom;Via265
352;;;56.6717;-1.45369;0;Bottom;TXT1
353;;;3.3909;-95.3772;0;Bottom;Copper Fill102
354;;;17.3141;-78.1671;90;Bottom;TXT1
355;47;THT;87.2343;-56.185;-90;Bottom;47?
356;;;21.4281;-69.1007;0;Bottom;TXT1
357;;THT;59.6118;-87.935;0;Bottom;UART277
358;;;37.9805;-36.1781;0;Bottom;TXT1
359;;;3.41413;-3.4802;0;Bottom;Hole111
360;;;5.3848;-48.6666;0;Bottom;Copper Fill219
361;;;87.4783;-66.4943;-90;Bottom;TXT1
362;;;84.4091;-21.4483;0;Bottom;TXT1
363;;;47.2393;-78.3495;0;Top;blkr11
364;;;112.827;-14.6687;0;Bottom;Copper Fill272
365;560;THT;114.839;-30.3615;22.8821;Bottom;560?
366;;;20.1676;-13.5384;0;Bottom;Copper Fill230
367;;;60.4266;-57.1883;0;Bottom;Copper Fill136
368;;THT;117.397;-53.3275;180;Bottom;UART265
369;;;68.5652;-52.2338;0;Bottom;TXT1
370;;;54.9432;-29.1621;-90;Bottom;TXT1
371;;;86.7036;-98.095;0;Bottom;TXT1
372;;;113.881;-3.3276;0;Bottom;Copper Fill37
373;;;100.087;-14.1901;0;Bottom;TXT1
374;;;108.521;-75.4255;0;Bottom;TXT1
375;;;53.3654;-28.6387;0;Bottom;Copper Fill158
376;;;38.9509;-50.7748;0;Bottom;Copper Fill264
377;;;84.0105;-1.5496;0;Bottom;Copper Fill309
378;;;47.2235;-65.3868;0;Bottom;TXT1
379;;;81.8474;-21.4602;0;Bottom;TXT1
380;;THT;99.9343;-18.085;90;Bottom;UART292
381;;;60.504;-54.5622;0;Top;blkr47
382;;;5.97513;-60.2006;-90;Bottom;TXT2
383;;;9.73017;-16.2769;0;Bottom;TXT1
384;;;67.5005;-1.5496;0;Bottom;Copper Fill11
385;100nF;200 mil [THT, multilayer];107.554;-14.91;-90;Bottom;100nF
