*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_IO_v1_0
*Date=09:59:53
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
150;;;1.1938;-20.1043;0;Bottom;Copper Fill48
151;;;115.782;-21.9655;0;Bottom;Via226
152;;;12.0446;-61.0239;90;Bottom;TXT2
153;;;108.696;-86.0658;180;Bottom;IMG8
154;;;89.3953;-87.2238;0;Bottom;Copper Fill53
155;;;73.2367;-21.3305;0;Bottom;Via188
156;;;28.1517;-43.5556;0;Bottom;Via258
157;;;28.1517;-47.3656;0;Bottom;Via259
158;;;22.3901;-27.5338;0;Bottom;Copper Fill137
159;;;97.4629;-45.5806;0;Bottom;TXT1
160;;;60.6727;-92.2461;0;Bottom;TXT2
161;;;93.9165;-8.052;0;Bottom;Copper Fill13
162;;;82.5971;-5.45556;0;Bottom;blkr12
163;;;119.05;-65.5703;0;Bottom;Copper Fill155
164;;;76.4118;-74.3882;0;Bottom;Hole125
165;;THT;39.5817;-19.4256;-90;Bottom;UART203
166;;THT;18.6267;-57.5256;-90;Bottom;UART
167;;;10.1544;-78.7615;0;Bottom;TXT1
168;;;90.7224;-73.0264;-90;Bottom;TXT1
169;;;78.3167;-21.3305;0;Bottom;Via186
170;;;30.0567;-34.0305;0;Bottom;Via203
171;;;69.802;-1.65763;0;Bottom;TXT2
172;;;80.3716;-31.0546;-90;Bottom;TXT1
173;;;110.702;-14.3455;0;Bottom;Via231
174;;;81.0682;-79.2333;0;Bottom;TXT2
175;;;6.53241;-62.7466;0;Bottom;TXT2
176;;;52.8225;-83.8663;90;Bottom;TXT2
177;220;THT;83.3048;-86.4802;-146.012;Bottom;560K
178;;;41.4867;-82.2906;0;Bottom;Via252
179;;;20.0154;-74.0508;0;Bottom;TXT2
180;;;11.6559;-31.2297;0;Bottom;TXT2
181;;;17.3567;-26.4105;0;Bottom;Via215
182;;;70.6967;-13.7105;0;Bottom;Via196
183;;;100.99;-63.5891;0;Bottom;Copper Fill42
184;;;96.1444;-55.0289;0;Bottom;Pad30
185;;;104.889;-1.0162;0;Bottom;Copper Fill186
186;;THT;84.7372;-44.4728;-180;Bottom;J111
187;;;34.1716;-7.21701;0;Bottom;TXT1
188;;;67.7967;-78.9145;90;Bottom;TXT2
189;;;111.735;-57.9503;0;Bottom;Copper Fill154
190;;;32.0949;-72.8626;-90;Bottom;TXT1
191;;;9.8552;-84.7727;0;Bottom;Copper Fill109
192;;;82.2706;-30.9247;0;Bottom;Copper Fill169
193;;;35.1763;-14.9287;0;Bottom;TXT1
194;;;42.7567;-26.4105;0;Bottom;Via221
195;;;52.9206;-89.8278;0;Bottom;TXT2
196;;;56.0705;-2.5148;0;Bottom;Copper Fill76
197;;;75.024;-5.45556;0;Top;blkr27
198;;;53.0737;-16.1596;-90;Bottom;TXT1
199;;;40.2565;-62.1352;-90;Bottom;TXT2
200;;;95.3405;-72.8882;0;Bottom;TXT2
201;;;41.1573;-28.1329;0;Bottom;TXT2
202;;;18.1268;-26.7303;90;Bottom;TXT1
203;;;3.32813;-23.0944;0;Bottom;TXT1
204;;;61.1599;-76.6814;0;Bottom;TXT2
205;;;30.0597;-71.5411;-90;Bottom;IMG7
206;;;42.7566;-88.57;0;Bottom;Pad31
207;;;32.1493;-91.8009;0;Bottom;IMG1
208;;;111.735;-75.6795;0;Bottom;Copper Fill207
209;;;72.7136;-27.8733;-90;Bottom;TXT1
210;;;22.4928;-21.8321;-90;Bottom;IMG13
211;;;30.1301;-71.0174;-90;Bottom;TXT1
212;;THT;97.7502;-3.90333;-90;Bottom;UART207
213;;;115.71;-15.9145;0;Bottom;TXT1
214;;;54.0925;-95.2493;0;Bottom;Pad37
215;;;32.5471;-21.6151;0;Bottom;TXT1
216;;;70.2241;-31.3305;-90;Bottom;TXT1
217;;;56.0917;-8.63053;0;Bottom;Via248
218;;;53.5517;-41.0156;0;Bottom;Via158
219;;;50.3767;-26.4105;0;Bottom;Via211
220;;;33.8526;-67.6855;0;Bottom;Via48
221;;THT;112.818;-49.2706;0;Bottom;UART217
222;;;47.8367;-26.4105;0;Bottom;Via220
223;;;69.86;-37.8443;0;Bottom;TXT1
224;;3 mm [THT];79.3605;-7.07819;90;Bottom;ERROR11
225;;;80.2513;-26.9242;0;Bottom;Copper Fill21
226;;;37.9928;-68.4788;-90;Bottom;TXT2
227;;;22.4367;-34.0305;0;Bottom;Via213
228;;;109.696;-24.2163;0;Bottom;TXT1
229;;;112.302;-24.2352;0;Bottom;TXT1
230;;;13.6286;-37.462;0;Bottom;TXT2
231;;;56.6443;-62.6408;0;Bottom;TXT2
232;;;76.3713;-10.1817;0;Bottom;TXT1
233;;;77.47;-5.40842;0;Top;blkr28
234;;;82.7617;-14.3455;0;Bottom;Via239
235;;;95.5339;-31.2188;-90;Bottom;TXT2
236;;;79.7534;-0.68577;0;Bottom;TXT1
237;;THT;87.2772;-58.4428;0;Bottom;J109
238;;THT;66.2517;-95.6256;180;Bottom;UART228
239;;;70.7219;-19.3698;0;Bottom;TXT1
240;;;60.5012;-15.441;0;Bottom;TXT1
241;;;57.9967;-21.3305;0;Bottom;Via190
242;;;80.2771;-27.8796;-90;Bottom;TXT1
243;;;119.05;-63.0303;0;Bottom;Copper Fill128
244;;;28.7052;-23.8221;0;Bottom;TXT1
245;;;89.8878;-61.8529;0;Top;blkr39
246;;;62.5348;-75.9843;0;Bottom;Copper Fill99
247;;;26.7227;-36.347;0;Bottom;TXT2
248;;;79.1723;-40.1971;0;Bottom;TXT2
249;;;105.346;-35.5094;0;Bottom;Copper Fill134
250;;;78.9064;-51.5732;0;Bottom;TXT2
251;;;37.6767;-34.0305;0;Bottom;Via217
252;;;68.1258;-68.4457;0;Bottom;TXT1
253;;;29.9404;-77.6556;0;Bottom;TXT2
254;;;54.4688;-78.3747;0;Bottom;TXT2
255;;;40.2167;-34.0305;0;Bottom;Via223
256;;;94.3097;-87.7798;90;Bottom;TXT1
257;;;71.0057;-2.8704;0;Bottom;Copper Fill111
258;;;30.6705;-63.8304;0;Bottom;Copper Fill139
259;;;90.553;-17.3273;-90;Bottom;TXT1
